t,MV,PV
3.470000000000000000e+02,0.000000000000000000e+00,1.689999999999999558e-01
3.480000000000000000e+02,0.000000000000000000e+00,1.689999999999999558e-01
3.490000000000000000e+02,0.000000000000000000e+00,1.689999999999999558e-01
3.500000000000000000e+02,0.000000000000000000e+00,1.689999999999999558e-01
3.510000000000000000e+02,0.000000000000000000e+00,1.689999999999999558e-01
3.520000000000000000e+02,0.000000000000000000e+00,1.650000000000000355e-01
3.530000000000000000e+02,0.000000000000000000e+00,1.617499999999999771e-01
3.540000000000000000e+02,0.000000000000000000e+00,1.627499999999999503e-01
3.550000000000000000e+02,0.000000000000000000e+00,1.609999999999999487e-01
3.560000000000000000e+02,0.000000000000000000e+00,1.609999999999999487e-01
3.570000000000000000e+02,0.000000000000000000e+00,1.609999999999999487e-01
3.580000000000000000e+02,0.000000000000000000e+00,1.609999999999999487e-01
3.590000000000000000e+02,0.000000000000000000e+00,1.602499999999999203e-01
3.600000000000000000e+02,0.000000000000000000e+00,1.562500000000000000e-01
3.610000000000000000e+02,0.000000000000000000e+00,1.544999999999999984e-01
3.620000000000000000e+02,0.000000000000000000e+00,1.529999999999999416e-01
3.630000000000000000e+02,0.000000000000000000e+00,1.529999999999999416e-01
3.640000000000000000e+02,0.000000000000000000e+00,1.529999999999999416e-01
3.650000000000000000e+02,0.000000000000000000e+00,1.515000000000000513e-01
3.660000000000000000e+02,0.000000000000000000e+00,1.482499999999999929e-01
3.670000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.680000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.690000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.700000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.710000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.720000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.730000000000000000e+02,0.000000000000000000e+00,1.424999999999999045e-01
3.740000000000000000e+02,0.000000000000000000e+00,1.449999999999999345e-01
3.750000000000000000e+02,0.000000000000000000e+00,1.377499999999999558e-01
3.760000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.770000000000000000e+02,0.000000000000000000e+00,1.377499999999999558e-01
3.780000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.790000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.800000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.810000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.820000000000000000e+02,0.000000000000000000e+00,1.369999999999999274e-01
3.830000000000000000e+02,0.000000000000000000e+00,1.337500000000000355e-01
